Datum,Beschreibung,Betrag
27/04/2023,MONATSGEBÜHR,"12,00"
26/04/2023,EINSTEIN KAFFEE IN DER  BERLIN,"19,00"
26/04/2023,RYANAIR LTD AIRLINE     DUBLIN,"40,00"
24/04/2023,BVG APP ONLINESHOP LOGP ESCHBORN,"3,20"
24/04/2023,BVG APP ONLINESHOP LOGP ESCHBORN,"3,20"
23/04/2023,APPLE.COM/BILL          HOLLYHILL,"49,99"
22/04/2023,LIDL 6273               BERLIN,"52,87"
22/04/2023,ROSSMANN                BERLIN,"28,17"
22/04/2023,UBER TRIP               SAN FRANCISCO,"7,69"
20/04/2023,PANDORA JEWELRY GMBH    HAMBURG,"154,00"
20/04/2023,ROSSMANN                BERLIN,"17,99"
19/04/2023,AMAZON.DE               AMAZON.DE,"19,92"
19/04/2023,BOLT OPERATIONS OU      TALLINN,"4,90"
19/04/2023,UBER TRIP               SAN FRANCISCO,"7,69"
15/04/2023,DISNEY64001             DISNEY PARIS,"141,00"
15/04/2023,LIDL 6273               BERLIN,"17,60"
14/04/2023,AMZN MKTP DE*Z05A921Q5  800-279-6620,"14,50"
14/04/2023,DM-DROGERIE MARKT 2421  BERLIN,"4,90"
14/04/2023,LIDL 6273               BERLIN,"9,55"
13/04/2023,UBER EATS               SAN FRANCISCO,"78,94"
12/04/2023,UBER EATS               SAN FRANCISCO,"9,59"
12/04/2023,UBER EATS               SAN FRANCISCO,"16,10"
11/04/2023,BOLT OPERATIONS OU      TALLINN,"6,50"
11/04/2023,SP EASYSKINZ.COM        SOUTHSEA,"30,90"
09/04/2023,AMZN MKTP DE*NB79N5LT5  800-279-6620,"19,99"
06/04/2023,APPLE.COM/DE            HOLLYHILL,"99,00"
04/04/2023,BOLT OPERATIONS OU      TALLINN,"7,40"
04/04/2023,LIDL 6273               BERLIN,"5,44"
03/04/2023,LIDL 6273               BERLIN,"1,77"
02/04/2023,TIER MOBILITY SE*TIER D BERLIN,"2,12"
02/04/2023,UBER EATS               SAN FRANCISCO,"10,88"
02/04/2023,UBER EATS               SAN FRANCISCO,"21,92"
02/04/2023,UBER PASS               AMSTERDAM,"4,99"
01/04/2023,LIDL 6273               BERLIN,"1,69"
01/04/2023,LIDL 6273               BERLIN,"2,28"
01/04/2023,LIDL 6273               BERLIN,"3,98"
01/04/2023,REWE REGIEMARKT GMBH OS BERLIN,"23,58"
31/03/2023,APPEST LIMITED          WAN CHAI,"2,63"
31/03/2023,TIER MOBILITY SE*TIER D BERLIN,"2,58"
31/03/2023,ZAHLUNG/ÜBERWEISUNG ERHALTEN BESTEN DANK,"-1118,30"
29/03/2023,BVG APP ONLINESHOP LOGP ESCHBORN,"9,40"
29/03/2023,LIDL 6273               BERLIN,"2,22"
29/03/2023,SUMUP*BALLON FANTASIA   BERLIN,"40,95"
29/03/2023,UBER EATS               SAN FRANCISCO,"14,88"
28/03/2023,AMZN MKTP US*HY94G5L81  AMZN.COM/BILL,"94,29"
28/03/2023,LIDL 6273               BERLIN,"2,99"
28/03/2023,PAYPAL *GODADDY.COM     02079792661,"79,28"
27/03/2023,LIDL 6273               BERLIN,"10,28"
27/03/2023,PAYPAL *GODADDY.COM     02079792661,"82,90"
27/03/2023,TURKISH AIRLINES INC. E GERMANY,"543,40"
27/03/2023,TURKISH AIRLINES INC. E GERMANY,"543,40"
